StoreAbbr;DateMonthYear;Obrat;DOH
BA-C;1.24;€ 50 849,14;692
BA-C;2.24;€ 49 532,19;638,52
BA-C;3.24;€ 47 160,46;666
BA-C;4.24;€ 42 553,15;672,28
BA-C;5.24;€ 41 968,20;706,01
BA-C;6.24;€ 50 507,49;714,77
BA-C;7.24;€ 43 958,21;610,67
BA-C;8.24;€ 46 615,08;648,98
BA-C;9.24;€ 49 500,18;591,92
BA-C;10.24;€ 54 370,27;705,84
BA-C;11.24;€ 62 779,46;667,11
BA-C;12.24;€ 165 835,19;828,73
BA-N;1.24;€ 276 284,07;1 775,50
BA-N;2.24;€ 288 116,33;1 662,21
BA-N;3.24;€ 280 747,98;1 528,85
BA-N;4.24;€ 266 829,86;1 523,67
BA-N;5.24;€ 268 358,65;1 582,83
BA-N;6.24;€ 325 940,76;1 746,52
BA-N;7.24;€ 326 765,56;2 090,92
BA-N;8.24;€ 332 871,45;2 021,52
BA-N;9.24;€ 334 314,98;1 857,44
BA-N;10.24;€ 349 381,82;2 841,07
BA-N;11.24;€ 409 275,79;2 776,58
BA-N;12.24;€ 1 037 765,62;3 773,16
BA-O;1.24;€ 199 523,89;2 289,94
BA-O;2.24;€ 197 759,62;2 293,84
BA-O;3.24;€ 194 098,59;2 028,75
BA-O;4.24;€ 193 810,19;1 796,30
BA-O;5.24;€ 181 842,96;2 062,05
BA-O;6.24;€ 200 067,20;2 329,48
BA-O;7.24;€ 202 087,50;2 247,96
BA-O;8.24;€ 199 726,53;2 043,84
BA-O;9.24;€ 200 276,32;2 026,80
BA-O;10.24;€ 221 770,96;2 746,64
BA-O;11.24;€ 248 304,37;2 423,72
BA-O;12.24;€ 555 262,58;3 300,98
BB-T;1.24;€ 88 010,05;488,94
BB-T;2.24;€ 82 034,53;489,38
BB-T;3.24;€ 80 707,37;571,78
BB-T;4.24;€ 69 491,42;589,29
BB-T;5.24;€ 73 218,70;527,43
BB-T;6.24;€ 85 915,10;662,83
BB-T;7.24;€ 87 582,55;598
BB-T;8.24;€ 85 210,46;594,7
BB-T;9.24;€ 87 025,52;508,43
BB-T;10.24;€ 92 607,17;716,21
BB-T;11.24;€ 122 548,92;732,51
BB-T;12.24;€ 287 315,06;1 037,88
BM-V;1.24;€ 75 143,33;862,71
BM-V;2.24;€ 71 544,51;658,94
BM-V;3.24;€ 76 647,89;687,28
BM-V;4.24;€ 67 647,22;583,2
BM-V;5.24;€ 68 125,48;649,14
BM-V;6.24;€ 75 626,70;689,85
BM-V;7.24;€ 82 526,00;661,3
BM-V;8.24;€ 77 975,30;675,32
BM-V;9.24;€ 65 491,77;569,67
BM-V;10.24;€ 79 657,31;739,26
BM-V;11.24;€ 104 635,77;855,17
BM-V;12.24;€ 227 463,69;899,37
KE-G;1.24;€ 69 292,02;809,56
KE-G;2.24;€ 62 805,13;693,09
KE-G;3.24;€ 63 488,71;748,77
KE-G;4.24;€ 56 928,54;778,18
KE-G;5.24;€ 52 261,23;719,68
KE-G;6.24;€ 69 281,18;827,64
KE-G;7.24;€ 67 583,21;879,29
KE-G;8.24;€ 68 272,86;953,85
KE-G;9.24;€ 71 332,78;1 197,18
KE-G;10.24;€ 72 112,32;1 265,04
KE-G;11.24;€ 95 916,82;1 284,10
KE-G;12.24;€ 247 017,04;1 439,72
KE-U;1.24;€ 47 826,11;1 114,92
KE-U;2.24;€ 45 896,86;959,75
KE-U;3.24;€ 47 243,51;916,04
KE-U;4.24;€ 42 412,06;887,33
KE-U;5.24;€ 39 732,43;1 076,49
KE-U;6.24;€ 48 298,54;1 037,53
KE-U;7.24;€ 50 003,55;1 088,37
KE-U;8.24;€ 51 706,42;1 092,76
KE-U;9.24;€ 51 606,83;1 348,24
KE-U;10.24;€ 54 436,98;1 456,86
KE-U;11.24;€ 63 778,45;1 546,43
KE-U;12.24;€ 162 392,56;1 647,30
LC-G;1.24;€ 47 549,25;241,34
LC-G;2.24;€ 43 497,28;262,68
LC-G;3.24;€ 41 950,75;272,83
LC-G;4.24;€ 37 775,02;266,84
LC-G;5.24;€ 37 652,89;286,37
LC-G;6.24;€ 44 218,09;410,34
LC-G;7.24;€ 50 275,29;376,65
LC-G;8.24;€ 53 075,53;378,42
LC-G;9.24;€ 47 577,53;297,44
LC-G;10.24;€ 49 454,67;367,13
LC-G;11.24;€ 65 641,01;402,4
LC-G;12.24;€ 167 341,25;655,05
LM-R;1.24;€ 43 160,56;286,31
LM-R;2.24;€ 45 579,08;301,5
LM-R;3.24;€ 44 803,54;362,98
LM-R;4.24;€ 36 659,05;363,39
LM-R;5.24;€ 37 966,97;291,21
LM-R;6.24;€ 47 928,19;313,23
LM-R;7.24;€ 57 340,20;363,49
LM-R;8.24;€ 59 665,10;368,18
LM-R;9.24;€ 49 029,64;252,78
LM-R;10.24;€ 48 950,97;303,64
LM-R;11.24;€ 66 434,52;357,98
LM-R;12.24;€ 173 748,69;546,32
LV-L;1.24;€ 42 246,62;328,56
LV-L;2.24;€ 32 716,88;290,61
LV-L;3.24;€ 34 163,89;290,39
LV-L;4.24;€ 25 208,45;332,08
LV-L;5.24;€ 24 674,50;291,12
LV-L;6.24;€ 26 919,24;303,91
LV-L;7.24;€ 30 996,75;284,36
LV-L;8.24;€ 31 537,79;347,11
LV-L;9.24;€ 30 639,88;324,26
LV-L;10.24;€ 29 599,51;378,88
LV-L;11.24;€ 38 485,57;345,44
LV-L;12.24;€ 96 477,29;553,54
MT-G;1.24;€ 58 033,78;748,67
MT-G;2.24;€ 53 596,11;709,57
MT-G;3.24;€ 52 585,06;621,82
MT-G;4.24;€ 45 829,87;659,24
MT-G;5.24;€ 43 640,73;567,97
MT-G;6.24;€ 55 660,64;532,9
MT-G;7.24;€ 58 254,86;619,21
MT-G;8.24;€ 55 739,51;552,18
MT-G;9.24;€ 62 210,73;493,64
MT-G;10.24;€ 60 807,15;604,21
MT-G;11.24;€ 80 635,15;557,16
MT-G;12.24;€ 200 671,10;1 028,23
NR-C;1.24;€ 75 028,96;351,01
NR-C;2.24;€ 66 109,84;425,49
NR-C;3.24;€ 68 167,05;256,52
NR-C;4.24;€ 58 593,86;471,76
NR-C;5.24;€ 54 488,39;720,76
NR-C;6.24;€ 65 390,59;553,34
NR-C;7.24;€ 61 734,11;571,08
NR-C;8.24;€ 63 297,59;553,41
NR-C;9.24;€ 69 168,74;522,14
NR-C;10.24;€ 69 722,60;528,03
NR-C;11.24;€ 100 607,79;668,32
NR-C;12.24;€ 238 761,08;800,17
NR-P;1.24;€ 37 783,21;489,69
NR-P;2.24;€ 35 798,14;435,81
NR-P;3.24;€ 36 752,44;462,17
NR-P;4.24;€ 31 055,48;453,36
NR-P;5.24;€ 30 598,27;287,03
NR-P;6.24;€ 39 337,69;369,41
NR-P;7.24;€ 39 495,37;431,29
NR-P;8.24;€ 39 848,29;394,73
NR-P;9.24;€ 37 308,97;419,7
NR-P;10.24;€ 40 267,73;539,01
NR-P;11.24;€ 49 238,99;517,39
NR-P;12.24;€ 136 438,05;564,14
PB-M;1.24;€ 29 284,35;248,89
PB-M;2.24;€ 24 413,01;278,36
PB-M;3.24;€ 25 154,42;266,83
PB-M;4.24;€ 23 236,21;238,87
PB-M;5.24;€ 22 953,17;226,73
PB-M;6.24;€ 25 636,68;240,12
PB-M;7.24;€ 29 126,27;286
PB-M;8.24;€ 27 986,60;388,3
PB-M;9.24;€ 26 682,34;241,44
PB-M;10.24;€ 28 560,29;345,62
PB-M;11.24;€ 38 052,90;337,89
PB-M;12.24;€ 96 376,19;520,04
PO-N;1.24;€ 96 142,95;958,34
PO-N;2.24;€ 92 474,54;1 060,07
PO-N;3.24;€ 88 258,16;1 007,50
PO-N;4.24;€ 80 231,18;1 033,77
PO-N;5.24;€ 76 957,31;1 194,81
PO-N;6.24;€ 100 631,00;1 461,24
PO-N;7.24;€ 99 949,59;1 251,22
PO-N;8.24;€ 105 780,57;1 099,07
PO-N;9.24;€ 100 441,04;1 116,81
PO-N;10.24;€ 107 896,95;1 482,04
PO-N;11.24;€ 122 365,63;1 338,26
PO-N;12.24;€ 296 549,96;1 465,74
PP-F;1.24;€ 76 342,03;324,07
PP-F;2.24;€ 73 612,99;311,01
PP-F;3.24;€ 72 682,80;449,21
PP-F;4.24;€ 61 592,58;430,48
PP-F;5.24;€ 64 128,45;476,36
PP-F;6.24;€ 77 232,68;312,8
PP-F;7.24;€ 78 786,52;272,18
PP-F;8.24;€ 87 980,94;338,87
PP-F;9.24;€ 77 290,27;270,69
PP-F;10.24;€ 82 495,92;449,87
PP-F;11.24;€ 105 047,25;424,63
PP-F;12.24;€ 275 902,05;816,91
TN-C;11.24;€ 43 292,24;570,96
TN-C;12.24;€ 143 432,87;999,51
TT-C;1.24;€ 75 856,85;503,74
TT-C;2.24;€ 73 635,32;529,2
TT-C;3.24;€ 72 463,33;622,64
TT-C;4.24;€ 64 941,58;587,1
TT-C;5.24;€ 65 410,34;573,77
TT-C;6.24;€ 79 196,46;625,88
TT-C;7.24;€ 81 691,42;829,87
TT-C;8.24;€ 81 439,87;849,85
TT-C;9.24;€ 76 191,32;697,86
TT-C;10.24;€ 79 030,97;776,03
TT-C;11.24;€ 93 680,60;697,23
TT-C;12.24;€ 245 429,53;938,14
ZA-1;1.24;€ 58 527,80;647,2
ZA-1;2.24;€ 54 276,02;647,07
ZA-1;3.24;€ 53 533,93;570,63
ZA-1;4.24;€ 49 709,42;522,63
ZA-1;5.24;€ 47 446,90;486,1
ZA-1;6.24;€ 61 904,01;596,81
ZA-1;7.24;€ 65 698,79;597,13
ZA-1;8.24;€ 66 337,77;688,2
ZA-1;9.24;€ 55 254,47;736,06
ZA-1;10.24;€ 77 214,07;1 013,28
ZA-1;11.24;€ 90 251,37;1 228,02
ZA-1;12.24;€ 226 296,15;1 470,00
ZV-K;1.24;€ 52 587,37;264,45
ZV-K;2.24;€ 54 498,75;256,21
ZV-K;3.24;€ 52 687,16;277,23
ZV-K;4.24;€ 46 860,71;298,03
ZV-K;5.24;€ 46 453,65;302,97
ZV-K;6.24;€ 58 280,07;457,6
ZV-K;7.24;€ 57 961,48;410,35
ZV-K;8.24;€ 60 156,52;377,42
ZV-K;9.24;€ 55 357,17;458,4
ZV-K;10.24;€ 60 666,74;593,58
ZV-K;11.24;€ 82 524,77;546,71
ZV-K;12.24;€ 224 865,60;872,93
